Title,Price,Location,Bedrooms,Bathrooms,Property_Type,URL,Toilets,Parking_Space
Premium 3 Bedroom Terrace Duplex with BQ,220000000,"Lekki,  Lagos",3.0,3.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/igbo-efon/3131790-premium-3-bedroom-terrace-duplex-with-bq,4.0,
Stunning Five (5) Bedrooms Detached Duplex,850000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3359521-stunning-five-5-bedrooms-detached-duplex,,
Stunning Five (5) Bedrooms Detached Duplex,850000000,"Lekki,  Lagos",5.0,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3359521-stunning-five-5-bedrooms-detached-duplex,,
Five (5) Bedroom Semi Detached Duplex,980000000,"Lekki,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3359615-five-5-bedroom-semi-detached-duplex,,
Five (5) Bedroom Semi Detached Duplex,980000000,"Lekki,  Lagos",5.0,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3359615-five-5-bedroom-semi-detached-duplex,,
Brand New Furnished Apartment,350000000,"Lekki Phase 1,  Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3386097-brand-new-furnished-apartment,,
Brand New Furnished Apartment,350000000,"Lekki Phase 1,  Lekki,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3386097-brand-new-furnished-apartment,3.0,
Super Fantastic Bungalow,70000000,"Ikotun,  Lagos",,,Detached bungalow for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ikotun/ijegun/3410366-super-fantastic-bungalow,,
Super Fantastic Bungalow,70000000,"Ikotun,  Lagos",3.0,3.0,Detached bungalow for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ikotun/ijegun/3410366-super-fantastic-bungalow,4.0,3.0
4 Bedroom Detached Duplex,250000000,"Surulere,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/surulere/aguda/3068038-4-bedroom-detached-duplex,,
4 Bedroom Detached Duplex,250000000,"Surulere,  Lagos",4.0,4.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/surulere/aguda/3068038-4-bedroom-detached-duplex,3.0,3.0
Luxury 5 Bedroom Fully Detached Duplex with BQ,390000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3410182-luxury-5-bedroom-fully-detached-duplex-with-bq,,
Luxury 5 Bedroom Fully Detached Duplex with BQ,390000000,"Ajah,  Lagos",4.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3410182-luxury-5-bedroom-fully-detached-duplex-with-bq,5.0,4.0
Elegant 4 Bedrooom Terrace Duplex,180000000,"Lekki,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3410112-elegant-4-bedrooom-terrace-duplex,,
Elegant 4 Bedrooom Terrace Duplex,180000000,"Lekki,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3410112-elegant-4-bedrooom-terrace-duplex,5.0,3.0
Elegant 4 Bedrooom Terrace Duplex,200000000,"Lekki,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ologolo/3410029-elegant-4-bedrooom-terrace-duplex,,
Elegant 4 Bedrooom Terrace Duplex,200000000,"Lekki,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ologolo/3410029-elegant-4-bedrooom-terrace-duplex,5.0,3.0
Luxury 5 Bedroom Fully Detached Duplex,400000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3409900-luxury-5-bedroom-fully-detached-duplex,,
Luxury 5 Bedroom Fully Detached Duplex,400000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3409900-luxury-5-bedroom-fully-detached-duplex,6.0,3.0
Tastefully Finished 4 Bedroom Maisonette,200000000,"Surulere,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/surulere/3409856-tastefully-finished-4-bedroom-maisonette,,
Tastefully Finished 4 Bedroom Maisonette,200000000,"Surulere,  Lagos",4.0,4.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/surulere/3409856-tastefully-finished-4-bedroom-maisonette,5.0,
Luxury 5 Bedrooom Fully Detached Duplex,430000000,"Lekki,  Lagos",,,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/3409835-luxury-5-bedrooom-fully-detached-duplex,,
Luxury 5 Bedrooom Fully Detached Duplex,430000000,"Lekki,  Lagos",5.0,5.0,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/3409835-luxury-5-bedrooom-fully-detached-duplex,6.0,3.0
