Title,Price,Location,Bedrooms,Bathrooms,Property_Type,URL,Toilets,Parking_Space
Standard 3 Bedroom Off-Plan Apartments,350000000,"Lekki Phase 1,  Lekki,  Lagos",3.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3464043-standard-3-bedroom-off-plan-apartments,4.0,2.0
Luxury 5 Bedroom Semi Detached Duplex + BQ in a Secured Estate,350000000,"Lekki,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/victoria-garden-city/3537800-luxury-5-bedroom-semi-detached-duplex-bq-in-a-secured-estate,,
Luxury 5 Bedroom Semi Detached Duplex + BQ in a Secured Estate,350000000,"Lekki,  Lagos",5.0,5.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/victoria-garden-city/3537800-luxury-5-bedroom-semi-detached-duplex-bq-in-a-secured-estate,6.0,2.0
"Luxury 2 Bedroom Apartment with Pool, Elevator, Concierge",120000000,"Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3437935-luxury-2-bedroom-apartment-with-pool-elevator-concierge,,
"Luxury 2 Bedroom Apartment with Pool, Elevator, Concierge",120000000,"Lekki,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3437935-luxury-2-bedroom-apartment-with-pool-elevator-concierge,3.0,2.0
"Luxury 5 Bedroom Semi Detached Duplex + BQ, Pool, Cinema, Open Terrace",850000000,"Lekki,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3480837-luxury-5-bedroom-semi-detached-duplex-bq-pool-cinema-open-terrace,,
"Luxury 5 Bedroom Semi Detached Duplex + BQ, Pool, Cinema, Open Terrace",850000000,"Lekki,  Lagos",5.0,5.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3480837-luxury-5-bedroom-semi-detached-duplex-bq-pool-cinema-open-terrace,6.0,4.0
Lovely 4 Bedroom Terrace Duplex,140000000,"Ajah,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3528712-lovely-4-bedroom-terrace-duplex,,
Lovely 4 Bedroom Terrace Duplex,140000000,"Ajah,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3528712-lovely-4-bedroom-terrace-duplex,5.0,2.0
"Luxury 5 Bedroom Detached Duplex + BQ, Pool",290000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3528872-luxury-5-bedroom-detached-duplex-bq-pool,,
"Luxury 5 Bedroom Detached Duplex + BQ, Pool",290000000,"Ajah,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3528872-luxury-5-bedroom-detached-duplex-bq-pool,6.0,4.0
Nicely Built 2 Bedroom Apartment in a Secured Estate,114000000,"Sangotedo,  Ajah,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/sangotedo/3529258-nicely-built-2-bedroom-apartment-in-a-secured-estate,,
Nicely Built 2 Bedroom Apartment in a Secured Estate,114000000,"Sangotedo,  Ajah,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/sangotedo/3529258-nicely-built-2-bedroom-apartment-in-a-secured-estate,3.0,2.0
5bed 5bath 4cars Fully Detached Duplex with Swimming Pool,260000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544716-5bed-5bath-4cars-fully-detached-duplex-with-swimming-pool,,
5bed 5bath 4cars Fully Detached Duplex with Swimming Pool,260000000,"Ajah,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544716-5bed-5bath-4cars-fully-detached-duplex-with-swimming-pool,6.0,
"Luxurious 8 Bedroom Mansion + BQ, & Large Penthouse",460000000,"Opic,  Isheri North,  Lagos",,,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/isheri-north/opic/3544501-luxurious-8-bedroom-mansion-bq-large-penthouse,,
"Luxurious 8 Bedroom Mansion + BQ, & Large Penthouse",460000000,"Opic,  Isheri North,  Lagos",8.0,11.0,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/isheri-north/opic/3544501-luxurious-8-bedroom-mansion-bq-large-penthouse,11.0,7.0
5bed 5bath 4cars Fully Detached Duplex with Swimming Pool,350000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544710-5bed-5bath-4cars-fully-detached-duplex-with-swimming-pool,,
5bed 5bath 4cars Fully Detached Duplex with Swimming Pool,350000000,"Ajah,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544710-5bed-5bath-4cars-fully-detached-duplex-with-swimming-pool,6.0,
Luxury 5bedroom Fully Detached Duplex,550000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3544706-luxury-5bedroom-fully-detached-duplex,,
Luxury 5bedroom Fully Detached Duplex,550000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3544706-luxury-5bedroom-fully-detached-duplex,6.0,
4 Bedroom Fully Detached Duplex with BQ,170000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3459176-4-bedroom-fully-detached-duplex-with-bq,,
4 Bedroom Fully Detached Duplex with BQ,170000000,"Ajah,  Lagos",4.0,4.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3459176-4-bedroom-fully-detached-duplex-with-bq,5.0,
Luxury 6 Bedroom Fully Detached Duplex with Pool and Cinema,1400000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3544662-luxury-6-bedroom-fully-detached-duplex-with-pool-and-cinema,,
Luxury 6 Bedroom Fully Detached Duplex with Pool and Cinema,1400000000,"Lekki,  Lagos",6.0,6.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3544662-luxury-6-bedroom-fully-detached-duplex-with-pool-and-cinema,7.0,
Self Compound 4 Bedroom Semi-Detached Duplex with BQ,230000000,"Lekki,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/3544660-self-compound-4-bedroom-semi-detached-duplex-with-bq,,
Self Compound 4 Bedroom Semi-Detached Duplex with BQ,230000000,"Lekki,  Lagos",4.0,4.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/3544660-self-compound-4-bedroom-semi-detached-duplex-with-bq,5.0,2.0
Nice 5 Bedrooms Fully Detached Duplex with a BQ and Pool,480000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544632-nice-5-bedrooms-fully-detached-duplex-with-a-bq-and-pool,,
Nice 5 Bedrooms Fully Detached Duplex with a BQ and Pool,480000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544632-nice-5-bedrooms-fully-detached-duplex-with-a-bq-and-pool,6.0,3.0
Well Renovated 4 Bedroom Semi-Detached Duplex with BQ,850000000,"Victoria Island,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/victoria-island/3544649-well-renovated-4-bedroom-semi-detached-duplex-with-bq,,
Well Renovated 4 Bedroom Semi-Detached Duplex with BQ,850000000,"Victoria Island,  Lagos",4.0,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/victoria-island/3544649-well-renovated-4-bedroom-semi-detached-duplex-with-bq,5.0,4.0
Well Maintained 3 Bedrooms Flat Plus BQ,180000000,"Victoria Island,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3544646-well-maintained-3-bedrooms-flat-plus-bq,,
Well Maintained 3 Bedrooms Flat Plus BQ,180000000,"Victoria Island,  Lagos",3.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3544646-well-maintained-3-bedrooms-flat-plus-bq,4.0,2.0
Charming 5 Bedroom Detached Duplex with Boys Quarter,200000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544643-charming-5-bedroom-detached-duplex-with-boys-quarter,,
Charming 5 Bedroom Detached Duplex with Boys Quarter,200000000,"Ajah,  Lagos",5.0,6.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544643-charming-5-bedroom-detached-duplex-with-boys-quarter,7.0,1.0
Luxury 4 Bedroom Duplex with BQ,210000000,"Ikeja,  Lagos",4.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/ogba/3279584-luxury-4-bedroom-duplex-with-bq,5.0,
"Luxury 4 Bedroom Maisonette with BQ, Pool and Gym",1700000000,"Banana Island,  Ikoyi,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3527924-luxury-4-bedroom-maisonette-with-bq-pool-and-gym,,
"Luxury 4 Bedroom Maisonette with BQ, Pool and Gym",1700000000,"Banana Island,  Ikoyi,  Lagos",4.0,4.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3527924-luxury-4-bedroom-maisonette-with-bq-pool-and-gym,5.0,2.0
Luxury 4 Bedroom Fully Detached Duplex with a Room BQ,450000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/3478033-luxury-4-bedroom-fully-detached-duplex-with-a-room-bq,,
Luxury 4 Bedroom Fully Detached Duplex with a Room BQ,450000000,"Lekki,  Lagos",4.0,4.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/3478033-luxury-4-bedroom-fully-detached-duplex-with-a-room-bq,5.0,2.0
Luxury 5-Bedroom Fully Detached Duplex,850000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544620-luxury-5-bedroom-fully-detached-duplex,,
Luxury 5-Bedroom Fully Detached Duplex,850000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544620-luxury-5-bedroom-fully-detached-duplex,6.0,
Luxury 4 Bedroom Detached Duplex with BQ,220000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544619-luxury-4-bedroom-detached-duplex-with-bq,,
Luxury 4 Bedroom Detached Duplex with BQ,220000000,"Ajah,  Lagos",5.0,6.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544619-luxury-4-bedroom-detached-duplex-with-bq,7.0,5.0
4 Bedroom Detached Duplex with BQ,320000000,"Ikeja,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/ogba/3544590-4-bedroom-detached-duplex-with-bq,,
4 Bedroom Detached Duplex with BQ,320000000,"Ikeja,  Lagos",4.0,4.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/ogba/3544590-4-bedroom-detached-duplex-with-bq,5.0,
Luxury 7 Bedroom Fully Detached Duplex,2100000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544589-luxury-7-bedroom-fully-detached-duplex,,
Luxury 7 Bedroom Fully Detached Duplex,2100000000,"Lekki,  Lagos",7.0,7.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544589-luxury-7-bedroom-fully-detached-duplex,8.0,
Charming 4 Bedroom Detached Duplex with Boys Quarter,200000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/sangotedo/3544585-charming-4-bedroom-detached-duplex-with-boys-quarter,,
Charming 4 Bedroom Detached Duplex with Boys Quarter,200000000,"Ajah,  Lagos",4.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/sangotedo/3544585-charming-4-bedroom-detached-duplex-with-boys-quarter,6.0,3.0
Affordable 6-Bedroom Bungalow with Registered Survey,33000000,"Ikotun,  Lagos",,,Detached bungalow for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ikotun/igando/3544584-affordable-6-bedroom-bungalow-with-registered-survey,,
Affordable 6-Bedroom Bungalow with Registered Survey,33000000,"Ikotun,  Lagos",6.0,,Detached bungalow for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ikotun/igando/3544584-affordable-6-bedroom-bungalow-with-registered-survey,,
Brand New 5 Bedroom Detached Duplex with Swimming Pool and Room BQ,500000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/3544576-brand-new-5-bedroom-detached-duplex-with-swimming-pool-and-room-bq,,
Brand New 5 Bedroom Detached Duplex with Swimming Pool and Room BQ,500000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/3544576-brand-new-5-bedroom-detached-duplex-with-swimming-pool-and-room-bq,6.0,2.0
Newly Built Luxury 2 Bedroom Apartment,270000000,"Lekki Phase 1,  Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3544565-newly-built-luxury-2-bedroom-apartment,,
Newly Built Luxury 2 Bedroom Apartment,270000000,"Lekki Phase 1,  Lekki,  Lagos",2.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3544565-newly-built-luxury-2-bedroom-apartment,3.0,2.0
4 Bedroom Semi Detached Apartment,130000000,"Lekki,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikota/3544559-4-bedroom-semi-detached-apartment,,
4 Bedroom Semi Detached Apartment,130000000,"Lekki,  Lagos",4.0,5.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikota/3544559-4-bedroom-semi-detached-apartment,5.0,4.0
Luxury 5-Bedroom Detached Duplex +BQ with Excellent Facility,650000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544550-luxury-5-bedroom-detached-duplex-bq-with-excellent-facility,,
Luxury 5-Bedroom Detached Duplex +BQ with Excellent Facility,650000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544550-luxury-5-bedroom-detached-duplex-bq-with-excellent-facility,6.0,
Luxurious 5 Bedroom Detached Duplex with a Swimmimg Pool,450000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/victoria-garden-city/3544549-luxurious-5-bedroom-detached-duplex-with-a-swimmimg-pool,,
Luxurious 5 Bedroom Detached Duplex with a Swimmimg Pool,450000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/victoria-garden-city/3544549-luxurious-5-bedroom-detached-duplex-with-a-swimmimg-pool,6.0,5.0
4-Bedroom Terraces with Exclusive Compounds,600000000,"Lekki,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3544545-4-bedroom-terraces-with-exclusive-compounds,,
4-Bedroom Terraces with Exclusive Compounds,600000000,"Lekki,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3544545-4-bedroom-terraces-with-exclusive-compounds,5.0,2.0
Luxury 5-Bedroom Detached Duplex with Excellent Facility,450000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544544-luxury-5-bedroom-detached-duplex-with-excellent-facility,,
Luxury 5-Bedroom Detached Duplex with Excellent Facility,450000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544544-luxury-5-bedroom-detached-duplex-with-excellent-facility,6.0,
4 Bedrooms Semi Detached House for Distress,95000000,"Ajah,  Lagos",4.0,4.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/3146614-4-bedrooms-semi-detached-house-for-distress,5.0,3.0
Luxury 5-Bedroom Detached Duplex with Excellent Facility,450000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544542-luxury-5-bedroom-detached-duplex-with-excellent-facility,,
Luxury 5-Bedroom Detached Duplex with Excellent Facility,450000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544542-luxury-5-bedroom-detached-duplex-with-excellent-facility,6.0,
Luxury 4-Bedroom Detached Duplex with Excellent Facility,1000000000,"Victoria Island,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/victoria-island/3544536-luxury-4-bedroom-detached-duplex-with-excellent-facility,,
Luxury 4-Bedroom Detached Duplex with Excellent Facility,1000000000,"Victoria Island,  Lagos",4.0,4.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/victoria-island/3544536-luxury-4-bedroom-detached-duplex-with-excellent-facility,5.0,
"A Well Crafted 4 Detached Duplex with 2BQ, Swimming Pool",1200000000,"Ikoyi,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikoyi/3544523-a-well-crafted-4-detached-duplex-with-2bq-swimming-pool,,
"A Well Crafted 4 Detached Duplex with 2BQ, Swimming Pool",1200000000,"Ikoyi,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikoyi/3544523-a-well-crafted-4-detached-duplex-with-2bq-swimming-pool,5.0,
Luxury 3 Bedroom Apartment Plus BQ,160000000,"Agungi,  Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/agungi/3540771-luxury-3-bedroom-apartment-plus-bq,,
Luxury 3 Bedroom Apartment Plus BQ,160000000,"Agungi,  Lekki,  Lagos",3.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/agungi/3540771-luxury-3-bedroom-apartment-plus-bq,4.0,2.0
Luxury 2-Bedroom Flat with Excellent Facility,190000000,"Lekki Phase 1,  Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3544529-luxury-2-bedroom-flat-with-excellent-facility,,
Luxury 2-Bedroom Flat with Excellent Facility,190000000,"Lekki Phase 1,  Lekki,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3544529-luxury-2-bedroom-flat-with-excellent-facility,3.0,
4 Bedroom Terraced Duplex Available,180000000,"Ajah,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/ilaje-ajah/3544517-4-bedroom-terraced-duplex-available,,
4 Bedroom Terraced Duplex Available,180000000,"Ajah,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/ilaje-ajah/3544517-4-bedroom-terraced-duplex-available,5.0,3.0
Luxury 5-Bedroom Detached Duplex with Excellent Facility,280000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544518-luxury-5-bedroom-detached-duplex-with-excellent-facility,,
Luxury 5-Bedroom Detached Duplex with Excellent Facility,280000000,"Ajah,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544518-luxury-5-bedroom-detached-duplex-with-excellent-facility,6.0,
Luxury 5-Bedroom Detached Duplex with Excellent Facility,470000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3544514-luxury-5-bedroom-detached-duplex-with-excellent-facility,,
Luxury 5-Bedroom Detached Duplex with Excellent Facility,470000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3544514-luxury-5-bedroom-detached-duplex-with-excellent-facility,6.0,
Luxury 4-Bedroom Terrace Duplex + BQ with Excellent Facility,300000000,"Ikeja,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikeja/oregun/3544508-luxury-4-bedroom-terrace-duplex-bq-with-excellent-facility,,
Luxury 4-Bedroom Terrace Duplex + BQ with Excellent Facility,300000000,"Ikeja,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikeja/oregun/3544508-luxury-4-bedroom-terrace-duplex-bq-with-excellent-facility,5.0,
2 Bedoom Apartment,290000000,"Ikate Elegushi,  Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate-elegushi/3544504-2-bedoom-apartment,,
2 Bedoom Apartment,290000000,"Ikate Elegushi,  Lekki,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate-elegushi/3544504-2-bedoom-apartment,3.0,
Luxury 4-Bedroom Terraces + BQS,300000000,"Lekki,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3544484-luxury-4-bedroom-terraces-bqs,,
Luxury 4-Bedroom Terraces + BQS,300000000,"Lekki,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3544484-luxury-4-bedroom-terraces-bqs,5.0,3.0
Beautiful 5 Bedroom Fully Detached House with an Elevator,850000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikate/3544477-beautiful-5-bedroom-fully-detached-house-with-an-elevator,,
Beautiful 5 Bedroom Fully Detached House with an Elevator,850000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikate/3544477-beautiful-5-bedroom-fully-detached-house-with-an-elevator,6.0,3.0
Massive Ultra Luxury 5 Bedroom Pent House Maisonnett with 2 BQ,2200000000,"Ikoyi,  Lagos",,,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikoyi/3544467-massive-ultra-luxury-5-bedroom-pent-house-maisonnett-with-2-bq,,
Massive Ultra Luxury 5 Bedroom Pent House Maisonnett with 2 BQ,2200000000,"Ikoyi,  Lagos",5.0,5.0,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikoyi/3544467-massive-ultra-luxury-5-bedroom-pent-house-maisonnett-with-2-bq,6.0,3.0
Brand New 4 Bedroom Detached House on 2 Floors with a BQ,350000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/agungi/3544458-brand-new-4-bedroom-detached-house-on-2-floors-with-a-bq,,
Brand New 4 Bedroom Detached House on 2 Floors with a BQ,350000000,"Lekki,  Lagos",4.0,4.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/agungi/3544458-brand-new-4-bedroom-detached-house-on-2-floors-with-a-bq,5.0,
Off Plan 2 Bedroom Apartment with BQ,400000000,"Victoria Island,  Lagos",2.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3395504-off-plan-2-bedroom-apartment-with-bq,3.0,2.0
Breath Taking 3 Bedroom Apartment,1000000000,"Ikoyi,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3544383-breath-taking-3-bedroom-apartment,,
Breath Taking 3 Bedroom Apartment,1000000000,"Ikoyi,  Lagos",3.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3544383-breath-taking-3-bedroom-apartment,2.0,
Exclusive Fully Furnished 4-Bedroom Penthouse,1200000000,"Ikoyi,  Lagos",,,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikoyi/3544382-exclusive-fully-furnished-4-bedroom-penthouse,,
Exclusive Fully Furnished 4-Bedroom Penthouse,1200000000,"Ikoyi,  Lagos",4.0,4.0,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikoyi/3544382-exclusive-fully-furnished-4-bedroom-penthouse,5.0,3.0
Lovely 4 Bedroom Shared Compound Terrace Duplex in a Secure Estate,100000000,"Ajah,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3544379-lovely-4-bedroom-shared-compound-terrace-duplex-in-a-secure-estate,,
Lovely 4 Bedroom Shared Compound Terrace Duplex in a Secure Estate,100000000,"Ajah,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3544379-lovely-4-bedroom-shared-compound-terrace-duplex-in-a-secure-estate,5.0,
