Unnamed: 0,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL,Scraped_By,title,location,price,bedrooms,bathrooms,toilets,property_type,url
,,,,,,,,,data/Island_Luxury_Data.csv,Premium 4 Bedroom Terrace House +garage+bq+pool+gym,"Banana Island Estate, Ikoyi, Lagos","₦50,000,000 per annum",4.0,4.0,5.0,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/3294244-premium-4-bedroom-terrace-house-garagebqpoolgym
,,,,,,,,,data/Island_Luxury_Data.csv,Victorian Styled Luxury  Waterfront 3 Bedroom Apartment + Swimming Pool,"Old Ikoyi, Ikoyi, Lagos","₦45,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3296054-victorian-styled-luxury-waterfront-3-bedroom-apartment-swimming-pool
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 4 Bedroom Penthouse Apartment +bq+pool+gym,"Banana Island Estate, Ikoyi, Lagos","₦50,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3300761-luxury-4-bedroom-penthouse-apartment-bqpoolgym
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 3 Bedroom Apartment +bq+gym+pool+tennis,"Old Ikoyi, Ikoyi, Lagos","₦50,000,101 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3302911-luxury-3-bedroom-apartment-bqgympooltennis
,,,,,,,,,data/Island_Luxury_Data.csv,Furnished 3 Bedroom Apartment + Bq + Pool+ Tennis + Gym Etc,"Old Ikoyi, Ikoyi, Lagos","₦39,999,999 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3305956-furnished-3-bedroom-apartment-bq-pool-tennis-gym-etc
,,,,,,,,,data/Island_Luxury_Data.csv,Top Executive 4 Bedroom Apartment + Bq+ Pool Tennis,"Old Ikoyi, Ikoyi, Lagos","₦53,500,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3304464-top-executive-4-bedroom-apartment-bq-pool-tennis
,,,,,,,,,data/Island_Luxury_Data.csv,4 Bedroom Semi Detached Terrace Styled House+bq+ Green Area+pool Etc,"Banana Island Estate, Banana Island, Ikoyi, Lagos","₦45,050,000 per annum",4.0,3.0,4.0,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3256940-4-bedroom-semi-detached-terrace-styled-housebq-green-areapool-etc
,,,,,,,,,data/Island_Luxury_Data.csv,Newly Built 4 Bedroom Maisonette On 2 Floors +bq+pool,"Off Banana Island Road, Ikoyi, Lagos","₦70,000,000 per annum",4.0,4.0,5.0,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/3277671-newly-built-4-bedroom-maisonette-on-2-floors-bqpool
,,,,,,,,,data/Island_Luxury_Data.csv,Premium Furnished 1 Bedroom Apartment + Swimming Pool + Gym,"Old Ikoyi, Ikoyi, Lagos","₦17,999,999 per annum",1.0,1.0,1.0,1 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3278449-premium-furnished-1-bedroom-apartment-swimming-pool-gym
,,,,,,,,,data/Island_Luxury_Data.csv,Unfurnished 4 Bedroom Apartment + Bq+pool+gym,"Old Ikoyi, Ikoyi, Lagos","₦35,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3299170-unfurnished-4-bedroom-apartment-bqpoolgym
,,,,,,,,,data/Island_Luxury_Data.csv,New 4 Bedroom Terrace House On 3 Floors + Bq +pool,"Off Awolowo Road, Ikoyi, Lagos","₦35,000,000 per annum",4.0,4.0,5.0,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/3299315-new-4-bedroom-terrace-house-on-3-floors-bq-pool
,,,,,,,,,data/Island_Luxury_Data.csv,Furnished 3 Bedroom Penthouse Apartment + Bq,"Old Ikoyi, Ikoyi, Lagos","₦45,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3300541-furnished-3-bedroom-penthouse-apartment-bq
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 3 Bedrooms Apartment + Bq + Pool + Gym + Tennis,"Ikoyi, Lagos","₦39,005,955 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/2106906-luxury-3-bedrooms-apartment-bq-pool-gym-tennis
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 3 Bedrooms Apartment + Bq + Tennis + Gym + Pool X 2 Years,"Banana Island Estate, Ikoyi, Lagos","₦40,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/2150171-luxury-3-bedrooms-apartment-bq-tennis-gym-pool-x-2-years
,,,,,,,,,data/Island_Luxury_Data.csv,Premium 3 Bedroom Apartment +bq+pool+tennis X 2yrs,"Old Ikoyi, Ikoyi, Lagos","₦30,000,000 per annum",3.0,2.0,3.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/2303947-premium-3-bedroom-apartment-bqpooltennis-x-2yrs
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury Semi Detached House,"Estate, Banana Island, Ikoyi, Lagos","₦45,001,500 per annum",4.0,3.0,4.0,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/banana-island/2315833-luxury-semi-detached-house
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 3 Bedroom Apartment +bq+pool+tennis X 2 Years,"Banana Island, Ikoyi, Lagos","₦40,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/2386323-luxury-3-bedroom-apartment-bqpooltennis-x-2-years
,,,,,,,,,data/Island_Luxury_Data.csv,Premium & Reasonably Priced Furnished 3 Bedroom Apartment,"Parkview, Ikoyi, Lagos","₦35,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/parkview/2397581-premium-reasonably-priced-furnished-3-bedroom-apartment
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 3 Bedroom Maisonette On 2 Floors+bq+pool+gym,"Old Ikoyi Lagos, Old Ikoyi, Ikoyi, Lagos","₦35,555,555 per annum",3.0,3.0,4.0,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/2457964-luxury-3-bedroom-maisonette-on-2-floorsbqpoolgym
