Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
Clean Two Bedroom Apartment,"Palmville Estate, Lbs, Ajah, Lagos","₦ 3,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3094027-clean-two-bedroom-apartment
Newly Built And Spacious Room And Parlor,"Ado, Ajah, Lagos","₦ 2,000,000 per annum",1 Bedroom,1 Bathroom,2 Toilets,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ajah/ado/3288155-newly-built-and-spacious-room-and-parlor
3 Bedroom Terrace Duplex,"Sangotedo, Ajah, Lagos","₦ 7,000,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/sangotedo/3289577-3-bedroom-terrace-duplex
1500sqm Of Land,"Ligali Ayorinde, Victoria Island (VI), Lagos","₦ 65,000 per annum","1,500 sqm Total Area",,,Land for rent,https://nigeriapropertycentre.com/for-rent/land/lagos/victoria-island/3289562-1500sqm-of-land
3 Bedroom Flat {downstairs},"Sangotedo, Ajah, Lagos","₦ 6,000,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3289542-3-bedroom-flat-downstairs
2 Bedroom Flat,"Sangotedo, Ajah, Lagos","₦ 4,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3289508-2-bedroom-flat
Newly Built Executive 2 Bedroom Upstairs,"Ogombo, Ajah, Lekki Phase 2, Lekki, Lagos","₦ 3,500,000 per annum",3 Bedrooms,4 Bathrooms,4 Toilets,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-2/3289442-newly-built-executive-2-bedroom-upstairs
An Executive One Bedroom Flat,"Olayinka Close By Olive Garden Ogombo Off Abraham Adesanya Ajah, Lekki, Lagos","₦ 1,800,000 per annum",1 Bedroom,,,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/3289436-an-executive-one-bedroom-flat
Nicely Finished & Spacious Three (3) Bedroom Detached Bungalow,"Awoyaya, Ajah, Lagos","₦ 2,500,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom detached bungalow for rent,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
Luxury 2 Bedroom Fully Detached Duplex With Excellent Facility,"Sangotedo, Ajah, Lagos","₦ 8,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/sangotedo/3288736-luxury-2-bedroom-fully-detached-duplex-with-excellent-facility
